"QuestionText","Type","OptionA","OptionB","OptionC","OptionD","CorrectAnswer","Points","Difficulty"
"Read the poem below and answer the question that follows.

PASSAGE 2 (POEM): The Old Baobab
Beneath the old baobab's shade
where elders once sat and children played
the village now stands still and bare
its young ones gone seeking fortune elsewhere.
The tree still stands its branches wide
a silent witness through each tide
of laughter lost and voices stilled
of promises made but never fulfilled.
Yet still it stands when strong winds blow
a stubborn root that will not let go
reminding all who pass its way
that roots outlive the fleeting day.

What is the title of the poem?","multiple_choice","The Village Square","The Old Baobab","The Lost Children","The Silent Tree of Fortune","B","1","medium"
"Read the poem below and answer the question that follows.

PASSAGE 2 (POEM): The Old Baobab
Beneath the old baobab's shade
where elders once sat and children played
the village now stands still and bare
its young ones gone seeking fortune elsewhere.
The tree still stands its branches wide
a silent witness through each tide
of laughter lost and voices stilled
of promises made but never fulfilled.
Yet still it stands when strong winds blow
a stubborn root that will not let go
reminding all who pass its way
that roots outlive the fleeting day.

What used to happen beneath the baobab tree?","multiple_choice","Nothing ever happened there","Elders sat and children played","Farmers stored their crops","Traders sold goods","B","1","medium"
"Read the poem below and answer the question that follows.

PASSAGE 2 (POEM): The Old Baobab
Beneath the old baobab's shade
where elders once sat and children played
the village now stands still and bare
its young ones gone seeking fortune elsewhere.
The tree still stands its branches wide
a silent witness through each tide
of laughter lost and voices stilled
of promises made but never fulfilled.
Yet still it stands when strong winds blow
a stubborn root that will not let go
reminding all who pass its way
that roots outlive the fleeting day.

What has happened to the village's young people?","multiple_choice","They have all died","They have gone away seeking fortune elsewhere","They still live under the tree","They became elders","B","1","medium"
"Read the poem below and answer the question that follows.

PASSAGE 2 (POEM): The Old Baobab
Beneath the old baobab's shade
where elders once sat and children played
the village now stands still and bare
its young ones gone seeking fortune elsewhere.
The tree still stands its branches wide
a silent witness through each tide
of laughter lost and voices stilled
of promises made but never fulfilled.
Yet still it stands when strong winds blow
a stubborn root that will not let go
reminding all who pass its way
that roots outlive the fleeting day.

What literary device is used when the tree is called a silent witness?","multiple_choice","Simile","Personification","Alliteration","Rhyme only","B","1","medium"
"Read the poem below and answer the question that follows.

PASSAGE 2 (POEM): The Old Baobab
Beneath the old baobab's shade
where elders once sat and children played
the village now stands still and bare
its young ones gone seeking fortune elsewhere.
The tree still stands its branches wide
a silent witness through each tide
of laughter lost and voices stilled
of promises made but never fulfilled.
Yet still it stands when strong winds blow
a stubborn root that will not let go
reminding all who pass its way
that roots outlive the fleeting day.

What does the baobab tree symbolise in the poem?","multiple_choice","Wealth and greed","Endurance and continuity despite change","Fear of the unknown","Confusion and chaos","B","1","medium"
"Read the poem below and answer the question that follows.

PASSAGE 2 (POEM): The Old Baobab
Beneath the old baobab's shade
where elders once sat and children played
the village now stands still and bare
its young ones gone seeking fortune elsewhere.
The tree still stands its branches wide
a silent witness through each tide
of laughter lost and voices stilled
of promises made but never fulfilled.
Yet still it stands when strong winds blow
a stubborn root that will not let go
reminding all who pass its way
that roots outlive the fleeting day.

What is the tone of the poem?","multiple_choice","Joyful and celebratory","Nostalgic and reflective","Angry and violent","Humorous and light-hearted","B","1","medium"
"Read the poem below and answer the question that follows.

PASSAGE 2 (POEM): The Old Baobab
Beneath the old baobab's shade
where elders once sat and children played
the village now stands still and bare
its young ones gone seeking fortune elsewhere.
The tree still stands its branches wide
a silent witness through each tide
of laughter lost and voices stilled
of promises made but never fulfilled.
Yet still it stands when strong winds blow
a stubborn root that will not let go
reminding all who pass its way
that roots outlive the fleeting day.

What does the phrase promises made but never fulfilled suggest?","multiple_choice","The village achieved all its goals","There is disappointment over unmet expectations","The tree made promises to villagers","The children kept all their promises","B","1","medium"
"Read the poem below and answer the question that follows.

PASSAGE 2 (POEM): The Old Baobab
Beneath the old baobab's shade
where elders once sat and children played
the village now stands still and bare
its young ones gone seeking fortune elsewhere.
The tree still stands its branches wide
a silent witness through each tide
of laughter lost and voices stilled
of promises made but never fulfilled.
Yet still it stands when strong winds blow
a stubborn root that will not let go
reminding all who pass its way
that roots outlive the fleeting day.

What theme is most strongly expressed in the last two lines of the poem?","multiple_choice","The importance of forgetting the past","The idea that one's roots and origins endure over time","The need to travel far from home","The danger of strong winds","B","1","medium"
"Read the poem below and answer the question that follows.

PASSAGE 2 (POEM): The Old Baobab
Beneath the old baobab's shade
where elders once sat and children played
the village now stands still and bare
its young ones gone seeking fortune elsewhere.
The tree still stands its branches wide
a silent witness through each tide
of laughter lost and voices stilled
of promises made but never fulfilled.
Yet still it stands when strong winds blow
a stubborn root that will not let go
reminding all who pass its way
that roots outlive the fleeting day.

Which pair of words in the poem rhyme?","multiple_choice","shade and played","wide and children","bare and tree","blow and tree","A","1","medium"
"Read the poem below and answer the question that follows.

PASSAGE 2 (POEM): The Old Baobab
Beneath the old baobab's shade
where elders once sat and children played
the village now stands still and bare
its young ones gone seeking fortune elsewhere.
The tree still stands its branches wide
a silent witness through each tide
of laughter lost and voices stilled
of promises made but never fulfilled.
Yet still it stands when strong winds blow
a stubborn root that will not let go
reminding all who pass its way
that roots outlive the fleeting day.

What overall message does the poet convey through the baobab tree?","multiple_choice","Trees are more important than people","Even amid change and loss some things remain steady and rooted","Villages should be abandoned","Strong winds destroy everything","B","1","medium"
"In the play Let Me Die Alone Queen Yoko is best described as:","multiple_choice","Weak and lazy","Ambitious brave and intelligent","Cowardly and passive","Uninterested in her people","B","1","medium"
"Which trait helps Queen Yoko rise to become a strong ruler?","multiple_choice","Her wealth alone","Her intelligence and wisdom","Her fear of leadership","Her total dependence on others","B","1","medium"
"By the end of the play Queen Yoko ends up:","multiple_choice","Surrounded by loyal friends","Lonely and isolated despite her power","Married happily","Removed from the throne peacefully","B","1","medium"
"What does Queen Yoko sacrifice in pursuit of leadership?","multiple_choice","Nothing at all","Her personal happiness and family life","Her wealth only","Her intelligence","B","1","medium"
"Lamboi is best described in the play as:","multiple_choice","Loyal and honest","Ambitious jealous and deceitful","Weak and uninterested in power","A faithful supporter of Queen Yoko","B","1","medium"
"What does Lamboi's character mainly reveal about the struggle for power?","multiple_choice","That power is easily shared without conflict","That jealousy and manipulation can drive people to seek power","That he has no interest in the throne","That he supports Queen Yoko fully","B","1","medium"
"Lamboi's actions in the play are chiefly driven by:","multiple_choice","Loyalty to Queen Yoko","Power hunger and manipulation","Love for his people","A desire to protect Musa","B","1","medium"
"Musa in the play is portrayed as:","multiple_choice","Disloyal to Queen Yoko","Loyal faithful and supportive","A rival for the throne","An outsider with no role","B","1","medium"
"Which quality best describes Musa's relationship with Queen Yoko?","multiple_choice","Betrayal and rivalry","Honesty and unwavering support","Jealousy and deceit","Complete indifference","B","1","medium"
"Gbanya's character in the play is best described as:","multiple_choice","A weak and disrespected figure","An influential and traditional ruler protective of his kingdom","A foreign invader","A character with no importance","B","1","medium"
"What does Gbanya represent in the story?","multiple_choice","Modern foreign values","Traditional respected leadership","Betrayal of his people","Weakness in leadership","B","1","medium"
"Jeneba is best described as:","multiple_choice","Careless and unsupportive","Caring dutiful and compassionate","Ambitious and power hungry","Disloyal to her family","B","1","medium"
"Which trait is most associated with Jeneba throughout the play?","multiple_choice","Cruelty toward others","Compassion and a sense of duty","Jealousy of Queen Yoko","A desire to seize the throne","B","1","medium"
"Which character serves as a rival or opposing force to Queen Yoko's authority?","multiple_choice","Musa","Lamboi","Jeneba","Gbanya","B","1","medium"
"Why does Queen Yoko struggle throughout the play?","multiple_choice","She has no ambition at all","She must make difficult decisions to protect her throne","She refuses all leadership roles","She has unlimited support with no opposition","B","1","medium"
"What ultimately contributes to Queen Yoko's downfall?","multiple_choice","Her refusal to lead","Her ambition and the isolation it brings","Her lack of intelligence","Her total dependence on Lamboi","B","1","medium"
"How does Musa's loyalty affect the events of the play?","multiple_choice","It creates chaos in the kingdom","It provides Queen Yoko with faithful support amid conflict","It leads him to betray Queen Yoko","It has no effect on the plot","B","1","medium"
"Which two characters are most clearly set in contrast with one another as loyal and disloyal figures?","multiple_choice","Jeneba and Gbanya","Musa and Lamboi","Queen Yoko and Jeneba","Gbanya and Musa","B","1","medium"
"What does Lamboi's jealousy ultimately create in the kingdom?","multiple_choice","Peace and unity","Conflict and struggle for authority","Increased wealth for everyone","A stronger bond with Queen Yoko","B","1","medium"
"As a traditional ruler Gbanya is chiefly concerned with:","multiple_choice","Abandoning his kingdom","Protecting his kingdom and upholding tradition","Supporting foreign rule","Undermining Queen Yoko","B","1","medium"
"A dynamic character in literature is one who:","multiple_choice","Remains unchanged throughout the story","Undergoes significant change or growth during the story","Appears only briefly","Has no personality traits","B","1","easy"
"A static character in literature is one who:","multiple_choice","Changes dramatically by the end","Remains essentially the same throughout the story","Is always the villain","Never appears in the plot","B","1","easy"
"The protagonist of a literary work refers to:","multiple_choice","The main opposing force","The central character around whom the story revolves","A minor background character","The narrator only","B","1","easy"
"An antagonist is best defined as:","multiple_choice","The hero of the story","The character or force that opposes the protagonist","A character with no role in the conflict","The author of the work","B","1","easy"
"In Let Me Die Alone who best fits the role of antagonist to Queen Yoko?","multiple_choice","Musa","Lamboi","Jeneba","Gbanya","B","1","medium"
"Characterisation refers to:","multiple_choice","The setting of a story","The method a writer uses to reveal a character's personality and traits","The plot structure alone","The historical period of a story","B","1","medium"
"Direct characterisation occurs when:","multiple_choice","A character's traits are shown only through actions","The author explicitly states a character's traits","Readers must guess entirely for themselves","Only dialogue is used","B","1","medium"
"Indirect characterisation occurs when a character's traits are revealed through:","multiple_choice","The author directly telling the reader","Their actions speech thoughts and how others react to them","A summary at the end of the book","The title of the book alone","B","1","medium"
"A foil character is used in literature to:","multiple_choice","Confuse the reader","Highlight the traits of another character through contrast","Replace the main character","End the story quickly","B","1","medium"
"A round character as opposed to a flat one is typically:","multiple_choice","Simple and one dimensional","Complex with multiple traits and depth","Unimportant to the plot","Only present in poetry","B","1","medium"
"What is the central theme of Let Me Die Alone?","multiple_choice","The joys of peaceful village life","The love of power and its consequences","The importance of farming","The history of foreign trade","B","1","medium"
"How does the theme of love of power show itself in the play?","multiple_choice","Queen Yoko has no desire to rule","Queen Yoko struggles to become ruler and protect her throne","No character seeks power","Power is shared equally with no conflict","B","1","medium"
"What does Queen Yoko's ambition eventually lead to?","multiple_choice","Lasting happiness with her family","Her loneliness and downfall","Immediate peace in the kingdom","A stronger marriage","B","1","medium"
"The theme of leadership and responsibility in the play shows that:","multiple_choice","Leadership requires no sacrifice","Leadership comes with heavy responsibilities and difficult choices","Rulers face no consequences for their decisions","Only men can bear leadership responsibility","B","1","medium"
"What must Queen Yoko do for the good of her kingdom?","multiple_choice","Avoid all decision making","Make sacrifices and difficult judgments","Give up her throne immediately","Rely only on Lamboi's advice","B","1","medium"
"The theme of betrayal in the play is shown through:","multiple_choice","Complete harmony among all characters","Characters betraying one another out of jealousy and the struggle for authority","A total absence of conflict","Queen Yoko betraying her own values","B","1","medium"
"What does betrayal create within the kingdom in the play?","multiple_choice","Greater unity and trust","Conflict and weakened trust among the people","Increased wealth for all","A stronger alliance with Gbanya","B","1","medium"
"The theme of sacrifice is illustrated when Queen Yoko:","multiple_choice","Refuses to give up anything","Gives up her personal happiness and family life to fulfil her duty as ruler","Abandons her throne for her family","Avoids all responsibility","B","1","medium"
"The theme of tradition and culture in the play highlights:","multiple_choice","The rejection of all African customs","Traditional beliefs chieftaincy and the role of women in society","Only modern Western values","The absence of any cultural practices","B","1","medium"
"Which aspect of society does the play explore through Queen Yoko's position as ruler?","multiple_choice","The role of women in leadership within a traditional society","The complete exclusion of women from any role","Only the role of foreign traders","The unimportance of chieftaincy","A","1","medium"
"The theme of loneliness is shown when Queen Yoko:","multiple_choice","Remains surrounded by loyal friends until the end","Becomes powerful but ends up isolated and emotionally suffering","Gives up her position willingly","Finds lasting companionship through her rule","B","1","medium"
"What causes Queen Yoko's isolation from friends and loved ones?","multiple_choice","Her refusal to lead","Her position and the demands of power","Her decision to leave the kingdom","Her lack of intelligence","B","1","medium"
"The theme of jealousy and rivalry in the play mainly involves:","multiple_choice","Competition for influence and leadership among characters","A complete absence of any rivalry","Only rivalry between foreign nations","Peaceful cooperation with no envy","A","1","medium"
"What does jealousy and rivalry cause among the characters?","multiple_choice","Increased trust and cooperation","Envy hatred and conflict","Immediate resolution of all disputes","A stronger kingdom with no problems","B","1","medium"
"Which theme in the play relates to Musa's role as a loyal supporter?","multiple_choice","Betrayal","Leadership and responsibility supported by loyalty","Greed","Corruption","B","1","medium"
"In literature theme is best defined as:","multiple_choice","The setting of the story","The central underlying message or idea explored by a literary work","A list of characters","The book's price","B","1","easy"
"A motif in literature refers to:","multiple_choice","A recurring element or idea that supports the central theme","The title of a book","A single character's name","The publisher of a book","A","1","medium"
"Which of these is one of the features of a theme?","multiple_choice","It is unrelated to the main idea of the work","It conveys the writer's message","It has no connection to the characters","It only appears in the title","B","1","medium"
"A single literary work may have:","multiple_choice","Only one possible theme","More than one theme","No theme at all","A theme unrelated to its events","B","1","medium"
"A theme is often revealed through:","multiple_choice","The cover design of the book alone","Events and characters within the work","The price of the book","The publisher's notes","B","1","medium"
"Understanding a theme helps a reader to:","multiple_choice","Ignore the story completely","Understand the message and give meaning to the story","Focus only on spelling errors","Avoid learning any lesson","B","1","easy"
"A theme often teaches readers:","multiple_choice","Nothing useful","A moral lesson relating to real life","Only historical facts","The author's biography","B","1","medium"
"To identify a theme readers should first:","multiple_choice","Skip most of the work","Read the work carefully","Ignore the characters entirely","Focus only on the setting","B","1","easy"
"After reading carefully one way to identify a theme is to:","multiple_choice","Ignore the major events","Identify the major events in the story","Focus only on minor details","Avoid studying the characters","B","1","medium"
"Studying characters and their actions helps readers to:","multiple_choice","Determine the theme in literature","Ignore the message of the work","Avoid understanding the plot","Focus only on the title","A","1","medium"
"Looking for recurring ideas in a work helps readers to:","multiple_choice","Determine the theme","Find the price of the book","Identify the publisher","Avoid the central message","A","1","medium"
"A final helpful step in identifying theme is to determine:","multiple_choice","The number of pages in the book","The lesson the writer wants the reader to learn","The cover colour of the book","The author's favourite food","B","1","medium"
"Which of these is a common theme found across many literary works?","multiple_choice","Love","Weather forecasting","Car mechanics","Computer programming","A","1","easy"
"Which of these is also a common theme in literature?","multiple_choice","Betrayal","Grocery shopping","Traffic control","Furniture design","A","1","easy"
"Which of the following is commonly explored as a theme in literature?","multiple_choice","Justice","Fashion trends","Sports scores","Office supplies","A","1","easy"
